SampleName,Group,CODE
"TCGA-AB-2972-03",Tumor,LAML
"TCGA-AB-2914-03",Tumor,LAML
"TCGA-AB-2967-03",Tumor,LAML
"TCGA-AB-2892-03",Tumor,LAML
"TCGA-AB-2976-03",Tumor,LAML
"TCGA-AB-2943-03",Tumor,LAML
"TCGA-AB-2986-03",Tumor,LAML
"TCGA-AB-2869-03",Tumor,LAML
"TCGA-AB-3009-03",Tumor,LAML
"TCGA-AB-2879-03",Tumor,LAML
"TCGA-AB-2994-03",Tumor,LAML
"TCGA-AB-2870-03",Tumor,LAML
"TCGA-AB-2981-03",Tumor,LAML
"TCGA-AB-2884-03",Tumor,LAML
"TCGA-AB-2998-03",Tumor,LAML
"TCGA-AB-2978-03",Tumor,LAML
"TCGA-AB-2875-03",Tumor,LAML
"TCGA-AB-2956-03",Tumor,LAML
"TCGA-AB-2965-03",Tumor,LAML
"TCGA-AB-3008-03",Tumor,LAML
"TCGA-AB-2844-03",Tumor,LAML
"TCGA-AB-3012-03",Tumor,LAML
"TCGA-AB-2853-03",Tumor,LAML
"TCGA-AB-2876-03",Tumor,LAML
"TCGA-AB-2949-03",Tumor,LAML
"TCGA-AB-2820-03",Tumor,LAML
"TCGA-AB-3007-03",Tumor,LAML
"TCGA-AB-2851-03",Tumor,LAML
"TCGA-AB-2915-03",Tumor,LAML
"TCGA-AB-2988-03",Tumor,LAML
"TCGA-AB-2862-03",Tumor,LAML
"TCGA-AB-2847-03",Tumor,LAML
"TCGA-AB-2859-03",Tumor,LAML
"TCGA-AB-2838-03",Tumor,LAML
"TCGA-AB-2917-03",Tumor,LAML
"TCGA-AB-2826-03",Tumor,LAML
"TCGA-AB-2825-03",Tumor,LAML
"TCGA-AB-2840-03",Tumor,LAML
"TCGA-AB-2816-03",Tumor,LAML
"TCGA-AB-2868-03",Tumor,LAML
"TCGA-AB-2821-03",Tumor,LAML
"TCGA-AB-2843-03",Tumor,LAML
"TCGA-AB-2871-03",Tumor,LAML
"TCGA-AB-2938-03",Tumor,LAML
"TCGA-AB-2846-03",Tumor,LAML
"TCGA-AB-2860-03",Tumor,LAML
"TCGA-AB-2849-03",Tumor,LAML
"TCGA-AB-2891-03",Tumor,LAML
"TCGA-AB-2932-03",Tumor,LAML
"TCGA-AB-2984-03",Tumor,LAML
"TCGA-AB-2858-03",Tumor,LAML
"TCGA-AB-2901-03",Tumor,LAML
"TCGA-AB-2912-03",Tumor,LAML
"TCGA-AB-2834-03",Tumor,LAML
"TCGA-AB-2931-03",Tumor,LAML
"TCGA-AB-2935-03",Tumor,LAML
"TCGA-AB-2921-03",Tumor,LAML
"TCGA-AB-2924-03",Tumor,LAML
"TCGA-AB-2824-03",Tumor,LAML
"TCGA-AB-2970-03",Tumor,LAML
"TCGA-AB-2874-03",Tumor,LAML
"TCGA-AB-2939-03",Tumor,LAML
"TCGA-AB-2808-03",Tumor,LAML
"TCGA-AB-2877-03",Tumor,LAML
"TCGA-AB-2837-03",Tumor,LAML
"TCGA-AB-2835-03",Tumor,LAML
"TCGA-AB-2878-03",Tumor,LAML
"TCGA-AB-2861-03",Tumor,LAML
"TCGA-AB-2920-03",Tumor,LAML
"TCGA-AB-2842-03",Tumor,LAML
"TCGA-AB-2900-03",Tumor,LAML
"TCGA-AB-2925-03",Tumor,LAML
"TCGA-AB-2979-03",Tumor,LAML
"TCGA-AB-2942-03",Tumor,LAML
"TCGA-AB-2803-03",Tumor,LAML
"TCGA-AB-2866-03",Tumor,LAML
"TCGA-AB-2983-03",Tumor,LAML
"TCGA-AB-2966-03",Tumor,LAML
"TCGA-AB-2841-03",Tumor,LAML
"TCGA-AB-2811-03",Tumor,LAML
"TCGA-AB-3000-03",Tumor,LAML
"TCGA-AB-2896-03",Tumor,LAML
"TCGA-AB-2985-03",Tumor,LAML
"TCGA-AB-2987-03",Tumor,LAML
"TCGA-AB-2887-03",Tumor,LAML
"TCGA-AB-2940-03",Tumor,LAML
"TCGA-AB-2959-03",Tumor,LAML
"TCGA-AB-2894-03",Tumor,LAML
"TCGA-AB-2991-03",Tumor,LAML
"TCGA-AB-2805-03",Tumor,LAML
"TCGA-AB-2819-03",Tumor,LAML
"TCGA-AB-2812-03",Tumor,LAML
"TCGA-AB-2971-03",Tumor,LAML
"TCGA-AB-2990-03",Tumor,LAML
"TCGA-AB-2854-03",Tumor,LAML
"TCGA-AB-2898-03",Tumor,LAML
"TCGA-AB-2857-03",Tumor,LAML
"TCGA-AB-2918-03",Tumor,LAML
"TCGA-AB-3005-03",Tumor,LAML
"TCGA-AB-2890-03",Tumor,LAML
"TCGA-AB-2928-03",Tumor,LAML
"TCGA-AB-2910-03",Tumor,LAML
"TCGA-AB-2927-03",Tumor,LAML
"TCGA-AB-2899-03",Tumor,LAML
"TCGA-AB-2930-03",Tumor,LAML
"TCGA-AB-2880-03",Tumor,LAML
"TCGA-AB-2919-03",Tumor,LAML
"TCGA-AB-2817-03",Tumor,LAML
"TCGA-AB-2865-03",Tumor,LAML
"TCGA-AB-2973-03",Tumor,LAML
"TCGA-AB-2897-03",Tumor,LAML
"TCGA-AB-2963-03",Tumor,LAML
"TCGA-AB-2977-03",Tumor,LAML
"TCGA-AB-2908-03",Tumor,LAML
"TCGA-AB-2886-03",Tumor,LAML
"TCGA-AB-2916-03",Tumor,LAML
"TCGA-AB-2848-03",Tumor,LAML
"TCGA-AB-2856-03",Tumor,LAML
"TCGA-AB-2881-03",Tumor,LAML
"TCGA-AB-2903-03",Tumor,LAML
"TCGA-AB-2911-03",Tumor,LAML
"TCGA-AB-2934-03",Tumor,LAML
"TCGA-AB-2839-03",Tumor,LAML
"TCGA-AB-2999-03",Tumor,LAML
"TCGA-AB-2980-03",Tumor,LAML
"TCGA-AB-2885-03",Tumor,LAML
"TCGA-AB-2996-03",Tumor,LAML
"TCGA-AB-2806-03",Tumor,LAML
"TCGA-AB-2867-03",Tumor,LAML
"TCGA-AB-2855-03",Tumor,LAML
"TCGA-AB-2828-03",Tumor,LAML
"TCGA-AB-2975-03",Tumor,LAML
"TCGA-AB-2882-03",Tumor,LAML
"TCGA-AB-2944-03",Tumor,LAML
"TCGA-AB-2954-03",Tumor,LAML
"TCGA-AB-2818-03",Tumor,LAML
"TCGA-AB-2822-03",Tumor,LAML
"TCGA-AB-2873-03",Tumor,LAML
"TCGA-AB-2950-03",Tumor,LAML
"TCGA-AB-2952-03",Tumor,LAML
"TCGA-AB-2895-03",Tumor,LAML
"TCGA-AB-2883-03",Tumor,LAML
"TCGA-AB-2948-03",Tumor,LAML
"TCGA-AB-3006-03",Tumor,LAML
"TCGA-AB-2889-03",Tumor,LAML
"TCGA-AB-2815-03",Tumor,LAML
"TCGA-AB-2823-03",Tumor,LAML
"TCGA-AB-2955-03",Tumor,LAML
"TCGA-AB-2993-03",Tumor,LAML
"TCGA-AB-2904-03",Tumor,LAML
"TCGA-AB-2830-03",Tumor,LAML
"TCGA-AB-3002-03",Tumor,LAML
"TCGA-AB-2941-03",Tumor,LAML
"TCGA-AB-2832-03",Tumor,LAML
"TCGA-AB-2872-03",Tumor,LAML
"TCGA-AB-2969-03",Tumor,LAML
"TCGA-AB-3011-03",Tumor,LAML
"TCGA-AB-2913-03",Tumor,LAML
"TCGA-AB-2813-03",Tumor,LAML
"TCGA-AB-2936-03",Tumor,LAML
"TCGA-AB-2929-03",Tumor,LAML
"TCGA-AB-2810-03",Tumor,LAML
"TCGA-AB-2836-03",Tumor,LAML
"TCGA-AB-2814-03",Tumor,LAML
"TCGA-AB-2946-03",Tumor,LAML
"TCGA-AB-2995-03",Tumor,LAML
"TCGA-AB-2964-03",Tumor,LAML
"TCGA-AB-2863-03",Tumor,LAML
"TCGA-AB-2845-03",Tumor,LAML
"TCGA-AB-2893-03",Tumor,LAML
"TCGA-AB-2933-03",Tumor,LAML
"TCGA-AB-2833-03",Tumor,LAML
"TCGA-AB-2937-03",Tumor,LAML
"GTEX-VJYA-0005-SM-3P5ZD",Normal,LAML
"GTEX-POMQ-0006-SM-5SI7D",Normal,LAML
"GTEX-1399Q-0005-SM-5NQAG",Normal,LAML
"GTEX-ZPIC-0005-SM-4WWEB",Normal,LAML
"GTEX-WHSB-0005-SM-3LK7C",Normal,LAML
"GTEX-POYW-0006-SM-2XCF4",Normal,LAML
"GTEX-RU1J-0006-SM-2TF6M",Normal,LAML
"GTEX-XMD2-0006-SM-4WWEG",Normal,LAML
"GTEX-YBZK-0005-SM-59HKG",Normal,LAML
"GTEX-Q2AG-0005-SM-5SI7F",Normal,LAML
"GTEX-132AR-0006-SM-5NQ7N",Normal,LAML
"GTEX-13OVK-0006-SM-5O9B7",Normal,LAML
"GTEX-X4LF-0006-SM-3NMCO",Normal,LAML
"GTEX-OXRL-0005-SM-3LK6A",Normal,LAML
"GTEX-1497J-0005-SM-5NQBD",Normal,LAML
"GTEX-Q2AI-0006-SM-2I3FG",Normal,LAML
"GTEX-P4PP-0005-SM-2HMKX",Normal,LAML
"GTEX-XBED-0006-SM-47JXO",Normal,LAML
"GTEX-13OVG-0005-SM-5P9HA",Normal,LAML
"GTEX-11EQ8-0006-SM-5P9HJ",Normal,LAML
"GTEX-131XH-0006-SM-5O98V",Normal,LAML
"GTEX-14BIL-0006-SM-5N9F2",Normal,LAML
"GTEX-NPJ8-0007-SM-26GMF",Normal,LAML
"GTEX-11DXX-0005-SM-5NQ8B",Normal,LAML
"GTEX-11O72-0006-SM-5O9DB",Normal,LAML
"GTEX-ZVT4-0006-SM-57WB8",Normal,LAML
"GTEX-OHPM-0006-SM-2HMKU",Normal,LAML
"GTEX-ZXES-0005-SM-57WCB",Normal,LAML
"GTEX-P4PQ-0005-SM-2HMKJ",Normal,LAML
"GTEX-1211K-0006-SM-5MR53",Normal,LAML
"GTEX-14A5I-0005-SM-5N9FU",Normal,LAML
"GTEX-P44G-0006-SM-2TC6A",Normal,LAML
"GTEX-QDVJ-0005-SM-2TC5X",Normal,LAML
"GTEX-T6MO-0006-SM-32QOU",Normal,LAML
"GTEX-11UD2-0005-SM-5NQ9B",Normal,LAML
"GTEX-TMZS-0006-SM-3DB8G",Normal,LAML
"GTEX-X88G-0006-SM-47JX5",Normal,LAML
"GTEX-11GSP-0006-SM-5N9EL",Normal,LAML
"GTEX-14DAR-0006-SM-5N9GC",Normal,LAML
"GTEX-Y111-0006-SM-4SOIO",Normal,LAML
"GTEX-QMR6-0005-SM-32PKY",Normal,LAML
"GTEX-X638-0005-SM-47JX6",Normal,LAML
"GTEX-1314G-0005-SM-5NQ9O",Normal,LAML
"GTEX-N7MT-0007-SM-3GACQ",Normal,LAML
"GTEX-12584-0005-SM-5N9GM",Normal,LAML
"GTEX-N7MS-0007-SM-2D7W1",Normal,LAML
"GTEX-Y3IK-0005-SM-4WWDE",Normal,LAML
"GTEX-WRHU-0006-SM-3MJF6",Normal,LAML
"GTEX-R53T-0005-SM-3GADK",Normal,LAML
"GTEX-12126-0006-SM-5O9B8",Normal,LAML
"GTEX-PWCY-0005-SM-2I3E2",Normal,LAML
"GTEX-13CF3-0006-SM-5N9ED",Normal,LAML
"GTEX-PW2O-0006-SM-2I3DV",Normal,LAML
"GTEX-13FTW-0005-SM-5LZVZ",Normal,LAML
"GTEX-PLZ6-0006-SM-33HBZ",Normal,LAML
"GTEX-11ZTT-0006-SM-5N9FX",Normal,LAML
"GTEX-ZLV1-0005-SM-4WWAP",Normal,LAML
"GTEX-ZVP2-0005-SM-51MRK",Normal,LAML
"GTEX-132NY-0005-SM-5O9AC",Normal,LAML
"GTEX-TMKS-0005-SM-33OV7",Normal,LAML
"GTEX-R45C-0006-SM-3GAD6",Normal,LAML
"GTEX-XPT6-0006-SM-4B66Q",Normal,LAML
"GTEX-139D8-0006-SM-5LZX8",Normal,LAML
"GTEX-WVLH-0006-SM-3MJF7",Normal,LAML
"GTEX-XGQ4-0005-SM-4AT5U",Normal,LAML
"GTEX-PLZ5-0006-SM-5S2W5",Normal,LAML
"GTEX-ZF29-0006-SM-4WKGQ",Normal,LAML
"GTEX-S341-0006-SM-3NM8D",Normal,LAML
"GTEX-14DAQ-0005-SM-5NQ7B",Normal,LAML
"GTEX-13FTX-0005-SM-5N9F6",Normal,LAML
"GTEX-Y8E4-0006-SM-4V6EW",Normal,LAML
"GTEX-14ABY-0005-SM-5O99U",Normal,LAML
"GTEX-OHPK-0006-SM-2HMKH",Normal,LAML
"GTEX-ZVTK-0006-SM-57WBK",Normal,LAML
"GTEX-12WSN-0006-SM-5NQAP",Normal,LAML
"GTEX-TKQ2-0006-SM-33HBH",Normal,LAML
"GTEX-WYBS-0005-SM-4ONDR",Normal,LAML
"GTEX-11TUW-0006-SM-5LZW2",Normal,LAML
"GTEX-11ILO-0006-SM-5LZWE",Normal,LAML
"GTEX-14E6C-0005-SM-5O98N",Normal,LAML
"GTEX-14BIN-0005-SM-5N9FE",Normal,LAML
"GTEX-11EQ9-0006-SM-5LUB6",Normal,LAML
"GTEX-WK11-0006-SM-3NB3J",Normal,LAML
"GTEX-ZC5H-0005-SM-4WAXM",Normal,LAML
"GTEX-WOFL-0006-SM-3TW8K",Normal,LAML
"GTEX-P4QS-0005-SM-2I3EY",Normal,LAML
"GTEX-REY6-0005-SM-2TF54",Normal,LAML
"GTEX-12WSH-0005-SM-5NQ9P",Normal,LAML
"GTEX-11NV4-0005-SM-5N9EX",Normal,LAML
"GTEX-13CIG-0006-SM-5P9HF",Normal,LAML
"GTEX-PWN1-0006-SM-2S1NG",Normal,LAML
"GTEX-1192X-0005-SM-5NQC3",Normal,LAML
"GTEX-139TT-0006-SM-5O9CG",Normal,LAML
"GTEX-ZVE2-0006-SM-51MRW",Normal,LAML
"GTEX-ZDXO-0006-SM-4WKGF",Normal,LAML
"GTEX-Y9LG-0006-SM-4VBRK",Normal,LAML
"GTEX-139T6-0006-SM-5LU92",Normal,LAML
"GTEX-XUW1-0005-SM-4BOQ7",Normal,LAML
"GTEX-WFON-0005-SM-3NMC9",Normal,LAML
"GTEX-Y8DK-0005-SM-4RGNR",Normal,LAML
"GTEX-12WSI-0005-SM-5O99K",Normal,LAML
