SampleName,Group,CODE
"GTEX-XOTO-0006-SM-4B64T",Normal,LAML
"GTEX-11PRG-0005-SM-5NQ6X",Normal,LAML
"GTEX-ZVZP-0006-SM-51MSW",Normal,LAML
"GTEX-14B4R-0006-SM-5O9A7",Normal,LAML
"GTEX-113JC-0006-SM-5O997",Normal,LAML
"GTEX-RVPU-0005-SM-2TF6L",Normal,LAML
"GTEX-11DXY-0006-SM-5NQ8N",Normal,LAML
"GTEX-R55F-0005-SM-2TF4W",Normal,LAML
"GTEX-11DXZ-0006-SM-5LZZH",Normal,LAML
"GTEX-ZF28-0005-SM-4WKH3",Normal,LAML
"GTEX-13VXT-0005-SM-5N9F3",Normal,LAML
"GTEX-POMQ-0006-SM-33HBY",Normal,LAML
"GTEX-XQ8I-0006-SM-4BOQ5",Normal,LAML
"GTEX-N7MS-0007-SM-26GME",Normal,LAML
"GTEX-N7MS-0007-SM-26GMV",Normal,LAML
"GTEX-QCQG-0006-SM-5SI8M",Normal,LAML
"GTEX-14E6D-0005-SM-5N9D7",Normal,LAML
"GTEX-RNOR-0005-SM-2TF4Z",Normal,LAML
"GTEX-12C56-0006-SM-5N9E9",Normal,LAML
"GTEX-Y5V5-0006-SM-4V6FE",Normal,LAML
"GTEX-Z93S-0005-SM-4RGLW",Normal,LAML
"GTEX-12WSG-0005-SM-5NQA2",Normal,LAML
"GTEX-ZDYS-0002-SM-4WKGR",Normal,LAML
"GTEX-NPJ8-0007-SM-26GMW",Normal,LAML
"GTEX-XBEC-0006-SM-4AT5T",Normal,LAML
"GTEX-117XS-0005-SM-5PNU6",Normal,LAML
"GTEX-ZG7Y-0006-SM-4WWEA",Normal,LAML
"GTEX-13S7M-0005-SM-5NQ76",Normal,LAML
"GTEX-14ICL-0006-SM-5SIAB",Normal,LAML
"GTEX-TML8-0005-SM-32QPA",Normal,LAML
"GTEX-NPJ7-0006-SM-3GACR",Normal,LAML
"GTEX-ZTPG-0006-SM-4YCFG",Normal,LAML
"GTEX-RU72-0006-SM-2TF65",Normal,LAML
"GTEX-132QS-0005-SM-5LZXK",Normal,LAML
"GTEX-W5WG-0006-SM-3GIJT",Normal,LAML
"GTEX-13U4I-0006-SM-5N9CI",Normal,LAML
"GTEX-U4B1-0006-SM-3DB8E",Normal,LAML
"GTEX-11ZTS-0005-SM-5NQ8A",Normal,LAML
"GTEX-11WQK-0005-SM-5O9AV",Normal,LAML
"GTEX-13W3W-0005-SM-5SI9Y",Normal,LAML
"GTEX-RM2N-0006-SM-2TF5H",Normal,LAML
"GTEX-11EMC-0006-SM-5O9DN",Normal,LAML
"GTEX-OIZI-0005-SM-2XCED",Normal,LAML
"GTEX-R55E-0006-SM-2TC5G",Normal,LAML
"GTEX-X4XY-0006-SM-46MV2",Normal,LAML
"GTEX-R55D-0006-SM-3GIJS",Normal,LAML
"GTEX-11EM3-0005-SM-5N9DK",Normal,LAML
"GTEX-ZTSS-0005-SM-4YCDR",Normal,LAML
"GTEX-YECK-0005-SM-4W217",Normal,LAML
"GTEX-QVJO-0006-SM-2S1RC",Normal,LAML
"GTEX-132Q8-0006-SM-5NQA4",Normal,LAML
"GTEX-13PLJ-0005-SM-5NQ99",Normal,LAML
"GTEX-1212Z-0006-SM-5NQ8M",Normal,LAML
"GTEX-WZTO-0006-SM-3NM9T",Normal,LAML
"GTEX-11LCK-0005-SM-5O98U",Normal,LAML
"GTEX-OOBJ-0006-SM-2I3F4",Normal,LAML
"GTEX-XUZC-0005-SM-4BOQ8",Normal,LAML
"GTEX-11GSO-0005-SM-5O9CA",Normal,LAML
"GTEX-ZXG5-0005-SM-57WCN",Normal,LAML
"GTEX-X15G-0005-SM-3NMDA",Normal,LAML
"GTEX-ZUA1-0005-SM-4YCEV",Normal,LAML
"GTEX-11DYG-0006-SM-5NQB2",Normal,LAML
"GTEX-XXEK-0005-SM-4BRWJ",Normal,LAML
"GTEX-12WSB-0006-SM-5O998",Normal,LAML
"GTEX-U412-0006-SM-3DB8J",Normal,LAML
"GTEX-QLQ7-0005-SM-2S1QP",Normal,LAML
"GTEX-11NSD-0005-SM-5LZZ5",Normal,LAML
"GTEX-13S86-0005-SM-5NQ7I",Normal,LAML
"GTEX-SE5C-0006-SM-4BRW5",Normal,LAML
"GTEX-131YS-0005-SM-5NQAS",Normal,LAML
"GTEX-14BMU-0006-SM-5MR3T",Normal,LAML
"GTEX-X4EP-0005-SM-3P5ZE",Normal,LAML
"GTEX-ZPCL-0006-SM-4WWAS",Normal,LAML
"GTEX-U3ZG-0006-SM-47JWX",Normal,LAML
"GTEX-13113-0006-SM-5NQ7X",Normal,LAML
"GTEX-11WQC-0006-SM-5LZVP",Normal,LAML
"GTEX-YFCO-0005-SM-4W1ZI",Normal,LAML
"GTEX-TSE9-0005-SM-4DXUF",Normal,LAML
"GTEX-131XF-0006-SM-5P9HK",Normal,LAML
"GTEX-O5YT-0007-SM-32PK7",Normal,LAML
"GTEX-RVPV-0006-SM-2TF6Q",Normal,LAML
"GTEX-14E1K-0006-SM-5N9DY",Normal,LAML
"GTEX-S4Q7-0006-SM-3K2AT",Normal,LAML
"GTEX-PWOO-0006-SM-2I3E3",Normal,LAML
"GTEX-ZV68-0006-SM-4YCEJ",Normal,LAML
"GTEX-ZE9C-0006-SM-4WKG2",Normal,LAML
"GTEX-11ZUS-0006-SM-5O9AJ",Normal,LAML
"GTEX-14E7W-0006-SM-5N9GG",Normal,LAML
"GTEX-WYVS-0006-SM-3NMA7",Normal,LAML
"GTEX-Y8E5-0006-SM-47JWQ",Normal,LAML
"GTEX-1399S-0006-SM-5NQ7U",Normal,LAML
"GTEX-ZTX8-0006-SM-4YCE4",Normal,LAML
"GTEX-YB5E-0005-SM-4VDSO",Normal,LAML
"GTEX-XK95-0005-SM-4AT4S",Normal,LAML
"GTEX-WOFM-0005-SM-3MJF3",Normal,LAML
"GTEX-VUSG-0006-SM-3GIK9",Normal,LAML
"GTEX-11VI4-0006-SM-5N9D8",Normal,LAML
"GTEX-12WSE-0005-SM-5NQAE",Normal,LAML
"GTEX-QMRM-0005-SM-3NB2A",Normal,LAML
"GTEX-12KS4-0005-SM-5SI94",Normal,LAML
"GTEX-WQUQ-0006-SM-3MJF4",Normal,LAML
"GTEX-13VXU-0006-SM-5N9FF",Normal,LAML
"GTEX-12WSK-0006-SM-5NQA1",Normal,LAML
"GTEX-14H4A-0006-SM-5N9E3",Normal,LAML
"GTEX-ZF3C-0005-SM-4WWAR",Normal,LAML
"GTEX-13111-0005-SM-5NQ7Z",Normal,LAML
"GTEX-117YW-0005-SM-5NQ8Z",Normal,LAML
"GTEX-11P81-0006-SM-5NQ7A",Normal,LAML
"GTEX-12696-0005-SM-5LZYS",Normal,LAML
"GTEX-ZQUD-0005-SM-4YCE5",Normal,LAML
"GTEX-12WSC-0005-SM-5MR3H",Normal,LAML
"GTEX-WWYW-0005-SM-3NB3K",Normal,LAML
"GTEX-XAJ8-0006-SM-46MVM",Normal,LAML
"GTEX-11XUK-0005-SM-5LU9F",Normal,LAML
"GTEX-OHPN-0005-SM-2YUML",Normal,LAML
"GTEX-ZF2S-0006-SM-4WKHF",Normal,LAML
"GTEX-11NUK-0005-SM-5MR5F",Normal,LAML
"GTEX-13CZU-0005-SM-5LU8K",Normal,LAML
"GTEX-PLZ4-0006-SM-2S1NY",Normal,LAML
"GTEX-TMMY-0005-SM-33HBN",Normal,LAML
"GTEX-139TS-0005-SM-5NQC1",Normal,LAML
"GTEX-ZDTS-0006-SM-4WAYZ",Normal,LAML
"GTEX-QXCU-0006-SM-2TC5K",Normal,LAML
"GTEX-111YS-0006-SM-5NQBE",Normal,LAML
"GTEX-12BJ1-0006-SM-5SIB5",Normal,LAML
"GTEX-PLZ5-0006-SM-2S1NZ",Normal,LAML
"GTEX-147F4-0006-SM-5O99T",Normal,LAML
"GTEX-R55G-0006-SM-2TC6O",Normal,LAML
"GTEX-X261-0005-SM-4PQYX",Normal,LAML
"GTEX-XUJ4-0005-SM-4BOQ6",Normal,LAML
"GTEX-QDVN-0006-SM-48U1R",Normal,LAML
"GTEX-PVOW-0006-SM-3NMB8",Normal,LAML
"GTEX-WXYG-0005-SM-3NB3M",Normal,LAML
"GTEX-13CF2-0006-SM-5O99L",Normal,LAML
"GTEX-148VJ-0006-SM-5NQB1",Normal,LAML
"GTEX-Y5LM-0005-SM-4V6EJ",Normal,LAML
"GTEX-S7SE-0005-SM-2XCEA",Normal,LAML
"GTEX-14BIM-0006-SM-5O9AA",Normal,LAML
"GTEX-11OF3-0006-SM-5O9CM",Normal,LAML
"GTEX-WFG7-0005-SM-3GIKM",Normal,LAML
"GTEX-NPJ8-0007-SM-2D7VX",Normal,LAML
"GTEX-X3Y1-0006-SM-3P5ZG",Normal,LAML
"GTEX-ZTTD-0006-SM-51MSJ",Normal,LAML
"GTEX-14A5H-0006-SM-5O9AI",Normal,LAML
"GTEX-1399R-0006-SM-5N9FR",Normal,LAML
"GTEX-1192W-0005-SM-5NQBQ",Normal,LAML
"GTEX-14BMV-0005-SM-5NQ6Y",Normal,LAML
"GTEX-1313W-0006-SM-5O9B1",Normal,LAML
"GTEX-12WSL-0005-SM-5NQAD",Normal,LAML
"GTEX-XMK1-0005-SM-4B665",Normal,LAML
"GTEX-WHPG-0006-SM-3NMBV",Normal,LAML
"GTEX-RWS6-0005-SM-2XCAN",Normal,LAML
"GTEX-T5JC-0005-SM-4DM7B",Normal,LAML
"GTEX-WHWD-0005-SM-3LK7D",Normal,LAML
"GTEX-O5YW-0006-SM-3LK6E",Normal,LAML
"GTEX-QLQW-0005-SM-2S1RA",Normal,LAML
"GTEX-X585-0005-SM-46MV3",Normal,LAML
"GTEX-WHSE-0006-SM-3NMBW",Normal,LAML
"GTEX-RUSQ-0006-SM-2TF6P",Normal,LAML
"GTEX-11I78-0005-SM-5N9GB",Normal,LAML
"GTEX-SJXC-0005-SM-2XCE7",Normal,LAML
"GTEX-XLM4-0005-SM-4AT4P",Normal,LAML
"GTEX-WEY5-0006-SM-3GIKG",Normal,LAML
"GTEX-139T8-0006-SM-5NQ6V",Normal,LAML
"GTEX-XPVG-0006-SM-4B65Z",Normal,LAML
"GTEX-14C39-0005-SM-5NQBR",Normal,LAML
"GTEX-OXRP-0006-SM-2I3FN",Normal,LAML
"GTEX-Q734-0006-SM-2I3FJ",Normal,LAML
"GTEX-T5JW-0005-SM-3GADE",Normal,LAML
"GTEX-PSDG-0005-SM-3GADC",Normal,LAML
"GTEX-13OW6-0005-SM-5NQ9Z",Normal,LAML
"GTEX-V1D1-0006-SM-3NMCE",Normal,LAML
"GTEX-ZPU1-0006-SM-4WWAT",Normal,LAML
"GTEX-131XG-0006-SM-5O9CE",Normal,LAML
"GTEX-XBEW-0006-SM-4AT4E",Normal,LAML
"GTEX-WY7C-0006-SM-3NB3L",Normal,LAML
"GTEX-PLZ4-0006-SM-5SI8L",Normal,LAML
"GTEX-Y114-0006-SM-4TT76",Normal,LAML
"GTEX-OOBK-0005-SM-2YUMG",Normal,LAML
"GTEX-UTHO-0006-SM-3NMCC",Normal,LAML
"GTEX-ZP4G-0006-SM-4WWE6",Normal,LAML
"GTEX-XQ3S-0006-SM-4BOQ4",Normal,LAML
"GTEX-ZVT3-0006-SM-51MT9",Normal,LAML
"GTEX-11TT1-0005-SM-5NQ8Y",Normal,LAML
"GTEX-ZDTT-0006-SM-4WKFP",Normal,LAML
"GTEX-XMD1-0006-SM-4AT4Q",Normal,LAML
"GTEX-113IC-0006-SM-5NQ9C",Normal,LAML
"GTEX-WFG8-0006-SM-3GIKS",Normal,LAML
"GTEX-U3ZN-0006-SM-3DB7Y",Normal,LAML
"GTEX-13OW8-0005-SM-5NQAC",Normal,LAML
"GTEX-11OC5-0006-SM-5N9FA",Normal,LAML
"GTEX-139TU-0006-SM-5LZVN",Normal,LAML
"GTEX-S7PM-0006-SM-3NM8C",Normal,LAML
"GTEX-X5EB-0006-SM-46MV5",Normal,LAML
"GTEX-YF7O-0005-SM-4W1ZU",Normal,LAML
"GTEX-X62O-0005-SM-46MV1",Normal,LAML
"GTEX-XV7Q-0005-SM-4BRWI",Normal,LAML
"GTEX-X4XX-0005-SM-3NMCS",Normal,LAML
"GTEX-SNOS-0006-SM-32PLH",Normal,LAML
"GTEX-Y3I4-0006-SM-4TT1E",Normal,LAML
"GTEX-YFC4-0006-SM-4RGLV",Normal,LAML
"GTEX-139UC-0005-SM-5PNU7",Normal,LAML
"GTEX-12ZZW-0005-SM-5O9BY",Normal,LAML
"GTEX-13CZV-0006-SM-5P9IN",Normal,LAML
"GTEX-13O61-0005-SM-5O9AU",Normal,LAML
"GTEX-12WSM-0005-SM-5NQB3",Normal,LAML
"GTEX-Y8LW-0005-SM-4V6EV",Normal,LAML
"GTEX-12WSJ-0005-SM-5LU8S",Normal,LAML
"GTEX-14C38-0006-SM-5NQBF",Normal,LAML
"GTEX-12WSA-0005-SM-5O9BM",Normal,LAML
"GTEX-13OVJ-0006-SM-5O98T",Normal,LAML
"GTEX-NL3G-0007-SM-4SOIF",Normal,LAML
"GTEX-OIZH-0005-SM-2HMJN",Normal,LAML
"GTEX-WH7G-0005-SM-3NMBX",Normal,LAML
"GTEX-1269C-0005-SM-5N9CJ",Normal,LAML
"GTEX-ZVZQ-0006-SM-51MR8",Normal,LAML
"GTEX-14A6H-0006-SM-5NQ7W",Normal,LAML
"GTEX-12WSD-0005-SM-5N9FZ",Normal,LAML
"GTEX-ZGAY-0006-SM-4WWAQ",Normal,LAML
"GTEX-Q2AH-0005-SM-5SI7G",Normal,LAML
"GTEX-RTLS-0006-SM-2TF58",Normal,LAML
"GTEX-11P82-0006-SM-5N9FY",Normal,LAML
"GTEX-WI4N-0005-SM-3LK7E",Normal,LAML
"GTEX-QVUS-0006-SM-3GAE8",Normal,LAML
"GTEX-13FXS-0006-SM-5O99X",Normal,LAML
"GTEX-1399U-0005-SM-5NQ8K",Normal,LAML
"GTEX-XYKS-0005-SM-4BRUD",Normal,LAML
"GTEX-131XE-0006-SM-5P9F9",Normal,LAML
"GTEX-WRHK-0005-SM-3MJF5",Normal,LAML
"GTEX-NL3H-0006-SM-2I3FW",Normal,LAML
"GTEX-Y5V6-0005-SM-4V6FD",Normal,LAML
"GTEX-PWN1-0006-SM-5SI7T",Normal,LAML
"GTEX-148VI-0006-SM-5O9A6",Normal,LAML
"GTEX-QCQG-0006-SM-2S1OW",Normal,LAML
"GTEX-WFJO-0005-SM-3GIKY",Normal,LAML
"GTEX-OHPJ-0006-SM-3LK6G",Normal,LAML
